src,hyp,tgt,label,target_word,mis_score
For such propositions <define> unimaginability </define> looks like a function of a kind of conceptual impossibility .,Not able to be imagined.,(philosophy) The quality of being unimaginable.,Hallucination,unimaginability,0.2333984673023224
I 'm staying home today . i 'm not going anywhere . What is the meaning of anywhere ?,Any place where things happen.,To any location or an unknown location .,Hallucination,anywhere,0.17595915496349335
Corruption in language . What is the meaning of corruption ?,Any act or condition of corruption.,"The act of changing , or of being changed , for the worse ; departure from what is pure , simple , or correct .",Hallucination,corruption,0.11473976820707321
"' No - rather not , my dear ? Well , another night , ' he said , hastily translating her <define> speechlessness </define> .",Alternative form of speechlessness,The state of being speechless.,Hallucination,speechlessness,0.11390171200037003
"The dutch brewery bavaria immobilized yeast on a packed bed deae cellulose column for the industrial production of their alcohol-free beer ( meersman , 1992 ) . What is the meaning of alcohol-free ?",Free of alcohol,Containing no alcohol .,Not Hallucination,,0.8882102966308594
"On CT scan , a deformed right femoral head with <define> postpinning </define> defect , articular changes , and subluxation was visualized .",The act of pinning down.,(surgery) Following the fixation of a pin,Hallucination,postpinning,0.13861225545406342
A cooperative game . What is the meaning of cooperative ?,Collaborative game,Involving cooperation between individuals or parties .,Hallucination,cooperative,0.3201839029788971
Taxonomy seeks to systematically name all living organisms ; each species has one name and everyone can figure out what that name is . What is the meaning of systematically ?,Systematically.,In an organized manner ; utilising a system .,Not Hallucination,,0.7480325698852539
"We know that states vary widely in the <define> compulsoryness </define> of membership , and further that the costs of exit vary widely among persons .",any compulsoryness,Alternative form of compulsoriness,Hallucination,compulsoryness,0.10346132516860962
And then i think i saw the most tremendous exhibition of moral courage and intrepidity that it is possible to conceive . What is the meaning of intrepidity ?,Having the quality of being able to endure hardships. Having the quality of being able to endure hardships.,The quality of being intrepid ; bravery .,Hallucination,intrepidity,0.15723392367362976
"And first , although there were more things in nature then words which did expresse them , yet even in these mute and silent discourses , to expresse complexed significations , they took a liberty to compound and piece together creatures of allowable formes unto mixtures inexistent . What is the meaning of complexed ?",any thing that is complexed.,"complex , complicated",Hallucination,complexed,0.4467635154724121
"Considering that now both $ teve and Robin are virtually <define> netdead </define> , this is probably about right .",Not dead yet,"(internet slang, rare, of a person) Not currently active on a network, or the Internet; offline.",Hallucination,netdead,0.16649731993675232
"`` you 're cheap . cheap education , cheap ideas , a half-baked bloody nobody . '' What is the meaning of half-baked ?",ched,"incomplete ; not fully planned or carefully considered , ill-conceived , unsound or badly thought-out ; foolish or having no common sense .",Hallucination,half-baked,0.11062787473201752
"As I noted earlier , the <define> candelabra tree </define> motif is one of the characteristic marginal decorations in Iberian Hebrew Bibles .",tree with branches.,A decorative motif of a stylized tree with symmetric branches having the appearance of a candelabra.,Hallucination,tree,0.3939439356327057
"[ w ] e 're glad to learn that the yankee bullet has not quite stopped your breath . you 're all right , hombre ! What is the meaning of hombre ?",any man who is strong and vigorous.,"A man , a chap , a guy ; especially a Hispanic or Spanish man .",Hallucination,hombre,0.1534806489944458
"It is not supposed that there is now , or that there ever was a man in Madison county who would willfully lie to hurt a fellow - man , or even to enhanced his own interests , but for your spinning yarns and big story telling , she has had some "" <define> hummers </define> . """,The act of lying.,"(slang, obsolete) A lie or tall tale.",Hallucination,hummers,0.1982479989528656
"Or , finally , might our awful situation prey upon and unbalance our minds ? a group of insane folk upon a dead world ! What is the meaning of unbalance ?",To unbalance something.,To cause to be out of balance .,Not Hallucination,,0.8790242075920105
"In winter , my cat tracks mud all over the house . What is the meaning of track ?",any track or set of tracks.,To leave in the form of tracks .,Hallucination,track,0.1660652905702591
"Liam 's poem about the Irish as wandering in ' feastless , houseless , <define> altarless </define> ' exile repeats Keating 's belief that Ireland 's hope is the Almighty God .",Alternative form of altarless,Having no place to hold religious services.,Hallucination,altarless,0.17146621644496918
I had to upgrade my anti-virus software to protect my computer from the newer threats . What is the meaning of upgrade ?,To upgrade something.,To replace with something better .,Not Hallucination,,0.7116814851760864
Still they bridesmaided for her . What is the meaning of bridesmaid ?,Alternative form of bridesmaid,To act as a bridesmaid for ; to attend a bride during her wedding ceremony .,Hallucination,bridesmaid,0.37988945841789246
The abduction of a child . What is the meaning of abduction ?,any act of removing or removing.,"The wrongful , and usually forcible , carrying off of a human being .",Hallucination,abduction,0.16910569369792938
The coach stood on the sidelines and bellowed commands at the team . What is the meaning of sideline ?,side line,Usually in the plural : the area outside the playing field beyond each sideline .,Hallucination,sideline,0.1686343550682068
An efficient process would automate all the routine work . What is the meaning of efficient ?,Having a high degree of efficiency.,"making good , thorough , or careful use of resources ; not consuming extra . Especially , making good use of time or energy",Hallucination,efficient,0.388811320066452
"In the Bal'aml frontispiece a Mongol figure of authority , with no Muslim insignia , has been placed at the heart of this <define> salvatic </define> vision .",any that relieves in salvationism.,"(rare) Of, or related to salvation.",Hallucination,salvatic,0.26723119616508484
"Some of his [ 's ] philosophical principles are , [ ... ] that the cause or principle of things must have had a co-existence with the things themselves ; [ ... ] and that the central point of influence , from which this cause chiefly acts , is the blue firmament ( tien ) , whence its emanations are spread over the universe ; [ ... ] the sun , moon , stars , and elements , are considered also as composing the firmament , or teen , as the immediate agents of the deity , and as the productive powers in creation . What is the meaning of firmament ?",ology,"The vault of the heavens , where the clouds , sun , moon , and stars can be seen ; the heavens , the sky .",Hallucination,firmament,0.19374537467956543
"We have not merely an abundance , but a superabundance of enemies at this time ; they will need to stand in line to disagree with us . What is the meaning of superabundance ?",any large amount of something.,An extreme abundance ; abundance to a vast degree that seems almost excessive .,Hallucination,superabundance,0.31939324736595154
"Juggling is an amusing pastime , but generally unproductive . What is the meaning of unproductive ?",Not productive.,Not productive ; useless ; fruitless .,Not Hallucination,,0.8850232362747192
He never seems to consider the feelings of others . What is the meaning of consider ?,Considering.,To have regard to ; to take into view or account ; to pay due attention to ; to respect .,Hallucination,consider,0.3070651590824127
They 're over there being all buddy-buddy with one another . What is the meaning of buddy-buddy ?,Friendly.,Very friendly or expressing close familiarity with someone,Not Hallucination,,0.7516070604324341
You 're speaking too fast . What is the meaning of speak ?,Speak ; to speak something out loud,"To communicate with one 's voice , to say words out loud .",Not Hallucination,,0.8141361474990845
A handsomely brooding man . What is the meaning of handsomely ?,Very handsome ; handsome in a handsome manner,In a handsome or attractive manner .,Not Hallucination,,0.7958576083183289
"I color my hair with henna , not chemicals . What is the meaning of chemical ?",any substance that is used to change or change colour.,An artificial chemical compound .,Hallucination,chemical,0.11445984244346619
He is due four weeks of back pay . What is the meaning of due ?,To be due to come or arrive in time.,Owed or owing .,Hallucination,due,0.17291763424873352
"Few people cast a more baleful shadow over postwar britain than , the `` yorkshire ripper '' , who has died aged 74 . What is the meaning of baleful ?",ful,Portending evil ; ominous .,Hallucination,baleful,0.10476071387529373
"Two multibillion-dollar industries—the computer manufacturers and telephone companies—had each developed its technologies separately . but as futurist howard rheingold suggests in his book virtual communities , the industries inadvertently gave private consumers access to those billion of dollars by selling them a tiny device to link the two technologies together : a computer modem . What is the meaning of futurist ?",ician who specializes in the study of future events,One who studies and predicts possible futures .,Not Hallucination,,0.7242108583450317
a window that opens <define> doorwise </define>,To open outwardly.,In the manner of a door.,Hallucination,doorwise,0.25470611453056335
"At last Sinoway pulled himself together and blew his nose <define> honkingly </define> into an immense , white handkerchief .",Honkingly. Honkingly. To honk.,With a honking sound.,Not Hallucination,,0.779938280582428
"As so many times before one finds a cozy corner in a coach , props oneself on an elbow and gazes out the window as the scenery goes speeding by to the cadence of clickity , clickity , clickity , click as the wheels strike the spaces between the rails with increasing speed . What is the meaning of clickity ?",any thing that clicks.,"Nonce variation of the word click , usually indicating one of a series of clicking sounds .",Hallucination,clickity,0.12712784111499786
"Can we see the sweet menu , please ? What is the meaning of sweet ?",any sweet.,A food eaten for dessert .,Hallucination,sweet,0.3204108476638794
An airworthy helicopter ... What is the meaning of airworthy ?,Worthy of being airworthy.,Meeting standards for safe flight,Not Hallucination,,0.7728108167648315
The are <define> losing ground </define> to foreign competitors every year .,losing ground,(idiomatic) To suffer loss or disadvantage; to experience a setback.,Hallucination,ground,0.47111600637435913
"In spite of this reservation , most <define> meteoriticists </define> now accept extinct aluminum-26 as the most likely source of heat for the meteorite parent bodies : it was abundant when the solar system formed , and it decayed fast enough to account for the intense but brief thermal histories of most meteorites .",ician who study meteorites,"(astronomy, mineralogy, geochemistry, cosmochemistry) A scientist involved in meteoritics.",Not Hallucination,,0.7280124425888062
What steps can an organization take to minimize liability for third-party communications in a listserve or other interactive forum ? What is the meaning of listserve ?,The act of communicating with others through a listserve.,An electronic mailing list using the medium of e-mail .,Hallucination,listserve,0.3622925281524658
The eight on the turn was another undercard to her pair of nines . What is the meaning of undercard ?,card game.,A card lower than another given card or pair .,Hallucination,undercard,0.2242492437362671
The soup had just a whisper of basil . What is the meaning of whisper ?,A very quiet sound.,A faint trace or hint ( of something ) .,Hallucination,whisper,0.16567420959472656
"They come nowhence , and they go nowhither . but now i see them and all things as ever moving symbols of the motions of man 's spirit and destiny . What is the meaning of nowhither ?",In direction of nowhere,nowhere ; to no place .,Not Hallucination,,0.7453272342681885
"Often tricked into running up debts or signing their deeds directly over to these <define> landmongers </define> , the traditionalists appealed to the federal government for help .",any who has been tricked into running up debts or signing their deeds directly over to these landmongers,An unscrupulous dealer in land.,Hallucination,landmongers,0.3303062319755554
Oily substances render things slippery . What is the meaning of slippery ?,Not slippery.,"Of a surface , having low friction , often due to being covered in a non-viscous liquid , and therefore hard to grip , hard to stand on without falling , etc .",Hallucination,slippery,0.18589189648628235
All the billions in the world and Manchester City still can not <define> rid </define> themselves of the most persistent thorn in their side .,To rid oneself of something.,(transitive) To free (something) from a hindrance or annoyance.,Hallucination,rid,0.4037862718105316
"In the three weeks since , the city has repeatedly relocated evacuees on short notice . to reopen schools , it bused many to armories , turning drill floors into open dormitories for the first time since a 1980s lawsuit halted the practice . What is the meaning of evacuee ?",To evacuate.,"A person who has been evacuated , especially a civilian evacuated from a dangerous place in time of war",Hallucination,evacuee,0.22880761325359344
Epimetheus was scatter-brained and a mischief to men for having taken the woman [ pandora ] that zeus had formed . What is the meaning of mischief ?,Alternative form of mischief,"A cause or agent of annoyance , harm or injury , especially a person who causes mischief .",Hallucination,mischief,0.1487562209367752
Drive-in bank ; drive-in church ; drive-in funeral parlor . What is the meaning of drive-in ?,anything that is drive-in.,Providing service to patrons who remain in their automobiles .,Hallucination,drive-in,0.11378520727157593
"That fad went out with the eighties , but I think it 's making a <define> comeback </define> .",A return.,"A return (e.g. to popularity, success, etc.) after an extended period of obscurity.",Not Hallucination,,0.7132307887077332
Our magazine has over ten thousand subscribers . What is the meaning of subscriber ?,Subscriber One who subscribes to something,a person who subscribes to a publication or a service,Not Hallucination,,0.8308016657829285
Have just had raging screaming <define> bitchfight </define> with the Maternal and told her my life would be entirely perfect if I never ever had to speak to her again .,fight between two or more people who are in a state of hostility.,Alternative form of bitch fight,Hallucination,bitchfight,0.21357855200767517
I 'll ping the insurance company again to see if they 've received our claim . What is the meaning of ping ?,Any act of pinging.,To send an email or other message to someone in hopes of eliciting a response .,Hallucination,ping,0.15022170543670654
"[ Marlborough ] was so miserably ignorant , that his deficiencies made him the <define> ridicule </define> of his contemporaries .",any thing that is ridiculous or unworthy of attention,An object of sport or laughter; a laughing stock.,Hallucination,ridicule,0.10981851071119308
He conveyed his teachings metaphorically . What is the meaning of metaphorically ?,ally.,In a metaphoric manner ; not literally ; by means of metaphor .,Hallucination,metaphorically,0.1651751846075058
The scheme originated with the governor and council . What is the meaning of originate ?,To begin to originate from.,"To come into existence ; to have origin or beginning ; to spring , be derived ( , ) .",Hallucination,originate,0.4194047451019287
The unusually bitter taste of aqueous <define> juniperin </define> solutions is not in accord with a mixture of only sugars and tannin .,any of juniperin.,(organic compound) A substance extracted from juniper berries.,Hallucination,juniperin,0.19019809365272522
"And here is as great an adventure as ever i heard of , and here , if we turn back , no little impeachment of all our honours . What is the meaning of impeachment ?",Alternative form of impeachment,The act of calling into question or challenging the accuracy or propriety of something .,Hallucination,impeachment,0.13951389491558075
He proved to be a remarkably efficient wrapper of parcels . What is the meaning of wrapper ?,Having a layer of parcel over something.,"One who , or that which , wraps .",Hallucination,wrapper,0.24842965602874756
""" The Tees Valley has ageing diesel trains that <define> predate </define> any form of emission control .",anything that dates back to before something else.,(transitive) To exist or to occur before something else; to antedate.,Hallucination,predate,0.3213781714439392
"Despite the <define> retardments </define> occasioned by the war , and the heavy financial loss suffered from the freeing of 1200 slaves in Tazewell , the wealth of the county was not seriously impaired .",The act of retarding.,Retardation; the act of retarding or delaying.,Not Hallucination,,0.8287456035614014
The unhcr deplores the recent events in sudan . What is the meaning of deplore ?,any thing that is deplored,To bewail ; to weep bitterly over ; to feel sorrow for .,Hallucination,deplore,0.2943154275417328
"Oh ! who young leila 's glance could read / and keep that portion of his creed / which saith , that woman is but dust , / a soulless toy for tyrant 's lust ? What is the meaning of soulless ?",Not able to arouse.,"As if without a soul ; insensitive , unfeeling .",Hallucination,soulless,0.12119629234075546
"The <define> loveaholic </define> is a taker , even though they think they are a giver .",any who is addicted to loveaholism,One who has an excessive need to be in a romantic relationship.,Hallucination,loveaholic,0.325809121131897
The dutch would sometimes inundate the land to hinder the spanish army . What is the meaning of inundate ?,To inundate something.,To cover with large amounts of water ; to flood .,Not Hallucination,,0.794853925704956
"Tourism has a high season ( summer ) , a midseason ( spring and fall ) , and a low season ( winter ) . What is the meaning of midseason ?",any season between high season and low season,"The middle part of a season , such as a sporting , television , or growing season .",Hallucination,midseason,0.16870397329330444
"The <define> femicentric </define> nature of the family in South Africa , hinging as it does on women , reflects both the strength and weakness of the institution .",any that relates to women.,woman-centric; focusing on women or pertaining to a focus on women (sometimes used pejoratively to imply such focus is misandric),Hallucination,femicentric,0.4374171793460846
"I 'm sorry , but that book has been out-of-print for twenty years . What is the meaning of out-of-print ?",out of print,No longer offered for sale by a publisher ; no longer on the firsthand market .,Hallucination,out-of-print,0.4916965067386627
"Mein Gott , what a <define> weirdsome </define> sight .",Very strange.,Marked by weirdness; strange; mysterious.,Not Hallucination,,0.8238637447357178
A good silver polish will remove tarnish easily . What is the meaning of polish ?,Polish. Polish. To polish something. To polish something. To polish something. To polish something.,A substance used to polish .,Not Hallucination,,0.8624961376190186
That guy 's a real talker . What is the meaning of talker ?,One who talks.,"A person who talks , especially one who gives a speech , or is loquacious or garrulous .",Not Hallucination,,0.8309812545776367
"Liquors distilled from them , are experienced very <define> proficuous </define>",proficuous proficuous,Useful or profitable.,Hallucination,proficuous,0.16624335944652557
[ a ] jovial santa claus with an understanding heart and an attentive ear— [ ... ] What is the meaning of jovial ?,any.,"Cheerful and good-humoured ; jolly , merry .",Hallucination,jovial,0.11250066757202148
She will perform in the play . What is the meaning of perform ?,Perform; perform something.,"To do ( something ) in front of an audience , such as acting or music , often in order to entertain .",Not Hallucination,,0.7332491874694824
I emerged gaspingly from the icy water . What is the meaning of gaspingly ?,Gaspingly.,With gasps .,Not Hallucination,,0.7620210647583008
"The coroner wanted to know where the hell he thought he was going , and the Sheep explained that he was “ going behind ” , for he <define> had drink taken </define> and his bladder was weak .",Having been drink taken.,"(UK, Ireland, colloquial, humorous) To be (extremely) drunk.",Hallucination,taken,0.16136375069618225
To attempt the enemy 's camp . What is the meaning of attempt ?,Try to attack or attack something,To attack ; to make an effort or attack upon ; to try to take by force .,Not Hallucination,,0.7913194894790649
He and a small group of other loyalists <define> stayed frosty </define> and refused to let the unit die .,remaining strong and unmovable.,"(military, slang) To be alert and ready for action, without letting one's fear or other emotions get in the way.",Hallucination,frosty,0.18970085680484772
The surface of a lake is a water-air interface . What is the meaning of interface ?,Interface between two or more things.,A thin layer or boundary between different substances or two phases of a single substance .,Hallucination,interface,0.3843354880809784
"The officer to whom the command was deputed , to the amusement of a german bombardier , ordered one of the largest cannons to be placed under the gate of a fortress . What is the meaning of bombardier ?",any who fires canons from a cannon.,An artilleryman ; a gunner .,Hallucination,bombardier,0.3038302958011627
Gossypium barbadense is a fine long-stapled variety of cotton . What is the meaning of stapled ?,ched definition of stapled,Having a specified kind of staple .,Hallucination,stapled,0.27580544352531433
"The show paints a complex and contradictory portrait of Black female sexuality that is simultaneously unwieldy and easily consumed , <define> hyperracialized </define> and deracialized , unique and universal , aggressive and diffident .",sexually racialized,Highly or excessively racialized.,Hallucination,hyperracialized,0.13508151471614838
"At last she spoke in a low voice , hesitating slightly , nevertheless going with incisive directness into the very heart of the problem . What is the meaning of heart ?",The center or core of something,"The centre , essence , or core .",Not Hallucination,,0.7391558289527893
Communication may be difficult between a low context culture and a high context culture when the unstated meanings of body language differ between the parties . What is the meaning of unstated ?,The unstated meaning of body language differs between parties.,Not explicitly stated ; unspoken .,Hallucination,unstated,0.2610741853713989
Polish the silver with a soft cloth to avoid scratching . What is the meaning of soft ?,Alternative form of soft,"Smooth and flexible ; not rough , rugged , or harsh .",Hallucination,soft,0.4149863123893738
I shall not lag behind . What is the meaning of behind ?,To lie behind someone or something.,At the back part ; in the rear .,Hallucination,behind,0.13650602102279663
"The apportionment of U.S. military assistance to Turkey and Greece has become an <define> apple of discord </define> almost as bitterly disputed by the recipients as the one Aphrodite received from Paris , which touched off the Trojan Wars .",any thing that is in harmony with other things,"An object or topic which sows anger and dissension; something which causes argument, rivalry, or strife.",Hallucination,discord,0.1211511418223381
"Dogs can hear this whistle , but for people it is inaudible . What is the meaning of inaudible ?",Not able to be heard by ear.,Unable to be heard or not loud enough to be heard .,Hallucination,inaudible,0.407218873500824
He was enormously popular . What is the meaning of enormously ?,"Very, extremely, hugely enormously extremely, hugely enormously extremely, hugely","Extremely , greatly : to an enormous degree .",Not Hallucination,,0.7726203203201294
"They maintain that the Forest Service has been pointedly harassing them and thousands of other "" <define> inholders </define> "" across the nation -- people who own property inside areas managed by the government -- in order to discourage them , set up "" precondemnation blight "" and force them off their land .",The holder of something.,"An indweller, or anything indwelling; inhabitant; occupant.",Hallucination,inholders,0.16528357565402985
"In her wildest dreams of <define> missionarying </define> , the former Miss Zuercher had never looked forward to anything quite like her new home . The doctor 's autobiography contains a detailed description of the early Dodge City .",anything that is done by missionaries,The religious work of a missionary.,Hallucination,missionarying,0.25357499718666077
"It is not the whiny , helpless , <define> victimy </define> kind of dependency .",Victimy dependency,"(informal) Characteristic of a victim, or of someone who has accepted the status of a victim",Hallucination,victimy,0.19056738913059235
"When tripp holds his red soda like it 's an ice-cold beer , it probably is n't actually mountain dew code red , but it might as well be . What is the meaning of ice-cold ?",Alternative form of ice cold,As cold as ice ; very cold .,Hallucination,ice-cold,0.3595455288887024
"Without taking the long leap to a world legislature that the World Federalists seek , or even making the drastic revision of the U. N. Charter that Clark and Sohn have so skillfully and deliberately devised , I think we could take some shorter steps to infuse it with <define> mankindly </define> spirit .",The spirit of mankindness,"Pertaining to or characteristic of mankind; humanly, humane.",Hallucination,mankindly,0.380588173866272
To heighten his awareness . What is the meaning of heighten ?,heighten one's awareness,"To advance , increase , augment , make larger , more intense , stronger etc .",Hallucination,heighten,0.10185737162828445
"This layout , however , does mean that staff have a <define> routemarch </define> to reach the rooms from the service areas",anyarch,Alternative form of route-march,Hallucination,routemarch,0.10048174113035202
A great carpenter . What is the meaning of great ?,Very good.,Skilful or adroit .,Hallucination,great,0.49088603258132935
"John spends two hours a day studying openings , and another two hours studying endgames . What is the meaning of opening ?",The first move in a game.,The first few moves in a game of chess .,Hallucination,opening,0.2894863188266754
The <define> headend </define> cable modem handles the medium access control ( MAC ) protocol which is necessary for point - to - multipoint operation on the tree - and - branch network .,The headend of a network.,"A cable TV control centre, at which terrestrial and satellite signals are received, monitored and injected into the cable network.",Hallucination,headend,0.12118362635374069
"`` she was so blond , that where it said 'sign here , ' she wrote gemini . '' he had given her only the weakest of smiles . What is the meaning of blond ?",Of a blond colour,Having blond hair .,Not Hallucination,,0.8122089505195618
"In the future , will machines end the need for employment and lead to a workless society ? What is the meaning of workless ?",Without work. jobless.,Devoid of work .,Not Hallucination,,0.8300374150276184
"When the lights went dark in their flooded compartment , the submariners knew that they did <define> not have a prayer </define> .",Having no prayer.,"To have no chance or possibility, usually in the face of peril or adversity.",Hallucination,prayer,0.11943157017230988
"He took Miss Lynes to supper ; he outshone himself in <define> vacuitous </define> small - talk during the whole time that the meal lasted ; he held undisputed possession of her during that hour especially dear to flirtation , between the time when supper ended and the departure of the guests .",any vacuous,Lacking substance; trivial; meaningless.,Hallucination,vacuitous,0.3271496593952179
"In this case the locomotive , <define> unwheeled </define> but with the boiler still in position , was carefully jacked ;   [ … ]",unheled,With the wheels not fitted or removed.,Hallucination,unwheeled,0.14108014106750488
"He next , while the flame continued to heat the chimney to the utmost , dashed upon it a dipper of water , and still the chimney was unfazed . What is the meaning of unfazed ?",Unfazed.,Undamaged,Not Hallucination,,0.7408345341682434
He has a laserlike focus on the bottom line . What is the meaning of laserlike ?,like a laser like a laser,Resembling a laser,Not Hallucination,,0.7302819490432739
"Drainboard had been terrified by a narrow escape from the jumping spider 's <define> dragline </define> . He had twisted it twice around her cerci and told her , "" Your new name is Supper , for that 's what you will be in a few hours . My supper . """,line,"A cable, cord, or rope used to drag an object; specifically, the line of a dragline excavator that drags the bucket.",Hallucination,dragline,0.16482044756412506
"During the quarantine all bitches received anti - helminthic treatment ( 14.5 mg / kg of pyrantel pamoate and 5 mg / kg prazyquantel – Vetbrands Saúde Animal , São Paulo , Brazil ) , and they were vaccinated against rabies , canine distemper , parvovirosis , <define> coronavirosis </define> , canine infectious hepatitis , leptospirosis , and parainfluenza ( Rai - Pet and Imuno - Vet , Biovet , São Paulo , Brazil ) .",The term coronavirus is used to refer to a group of viruses that cause various diseases.,"(disease, rare) Any disease caused by a coronavirus.",Hallucination,coronavirosis,0.21876507997512817
The song 's hook snared me . What is the meaning of hook ?,any hook that catches something.,A catchy musical phrase which forms the basis of a popular song .,Hallucination,hook,0.23932954668998718
You say something outsidely rude and <define> insidely </define> civil about its being my choice to edit ;   [ … ],Very unpleasant.,In an inside or internal manner; internally.,Hallucination,insidely,0.1100463941693306
These are equally viable times and i propose we alternate between the two times in order to convenience as many people as possible . What is the meaning of convenience ?,Alternative form of convenience,To make convenient,Hallucination,convenience,0.20004910230636597
The living room and dining room adjoin each other . What is the meaning of adjoin ?,join together,To be in contact or connection with .,Hallucination,adjoin,0.3953913152217865
The two systems are mechanistically equivalent . What is the meaning of mechanistically ?,Mechanically.,In terms of a mechanism .,Not Hallucination,,0.745224118232727
Go into the wealthiest and gayest quarters of the town and you shall see maidens of fifteen tripping along in scores with their young cheeks <define> bechalked </define> and bedizened in a manner that almost puts to the shame a coryphée of the grand opera .,ched,Chalk-covered or chalky.,Hallucination,bechalked,0.1576467901468277
"A little less conversation , a little more action please / all this aggravation ai n't satisfactioning me . What is the meaning of conversation ?",any talk between two or more people,"Expression and exchange of individual ideas through talking with other people ; also , a set instance or occasion of such talking .",Hallucination,conversation,0.43559813499450684
Free-flowing traffic . What is the meaning of free-flowing ?,Flowing freely,Moving freely .,Not Hallucination,,0.8302901983261108
Comparative anatomy . What is the meaning of comparative ?,any comparative.,"Using comparison as a method of study , or founded on something using it .",Hallucination,comparative,0.21999558806419373
"As this was largely a traditionally crafted speech , there were some painful cliches and political pabulum to which a typical politician might be prone , of course . What is the meaning of pabulum ?",any thing that is excessively banal.,Bland intellectual fare ; an undemanding diet of words .,Hallucination,pabulum,0.2022227644920349
To front court . What is the meaning of front ?,courtroom,To appear before .,Hallucination,front,0.15423928201198578
Improvements were made to the accuracy of estimated revenues for <define> uninvoiced </define> shipments .,Unvoiced shipments,Not billed for on an invoice.,Hallucination,uninvoiced,0.36299410462379456
"On the contrary , he warned aspiring <define> oneirocrites </define> that "" those who attribute . . . too much hidden meaning to dreams should be treated with contempt since they have no insight into the structure of a dream ... "" ( IV , 63 [ P 286 , 13 - 15 ] ) .",Alternative form of dreamer,One skilled in oneirocrisy; an interpreter of dreams.,Hallucination,oneirocrites,0.16901692748069763
The UN tries to maintain the <define> fragile </define> peace process in the region .,Any that is fragile.,"Easily broken or destroyed, and thus often of subtle or intricate structure.",Hallucination,fragile,0.266170859336853
"With the gunners far too lightweight in midfield , mikel arteta dropped back into a deeper-lying role . this freed yossi benayoun to go further forward , a move that helped forge a rare arsenal chance on 30 minutes when the israeli released van persie , only for the dutchman 's snap-shot to be tipped around the post . What is the meaning of lightweight ?",anything that is not heavyweight,Lacking in strength,Hallucination,lightweight,0.1929384469985962
We 'll use poison to exterminate the rats . What is the meaning of exterminate ?,To end by killing.,"To kill all of ( a population of pests or undesirables ) , usually intentionally .",Hallucination,exterminate,0.4158042073249817
A noncommercial organization . What is the meaning of noncommercial ?,Alternative form of noncommercial,Not engaged in commerce .,Hallucination,noncommercial,0.4831068217754364
The understanding and will never disagreed ; for the proposals of the one never thwarted the inclinations of the other . What is the meaning of thwart ?,"To oppose, oppose","To cause to fail ; to frustrate , to prevent .",Hallucination,thwart,0.3415098488330841
"Upon the wordy <define> wavelets </define> of your voice ,",Small waves.,A small wave; a ripple.,Not Hallucination,,0.7701830863952637
I spelled several names wrong in my address book . What is the meaning of wrong ?,Not correct ; incorrect,"In a way that is n't right ; incorrectly , wrongly .",Not Hallucination,,0.8642868995666504
"We can only with difficulty imagine such a thing ; and yet it will be , and be the natural thing : an art without anguish , psychologically healthy , not solemn , <define> unsadly </define> confiding , an art per du with humanity …",Alternative form of unsadly,Not sadly.,Hallucination,unsadly,0.3325834274291992
"But , say they , we , while they fight with the spear , Lead in our homes a life <define> undangerous </define> :",harmful,Not dangerous.,Hallucination,undangerous,0.23870344460010529
To investigate an unsolved murder . What is the meaning of investigate ?,Investigating.,"To examine , look into , or scrutinize in order to discover something hidden or secret .",Hallucination,investigate,0.37130892276763916
"The undecidable issue between these different institutions and procedures had in the end to be determined at the boundary of all of them , through <define> coups de force </define> .",The act of forceful compelling.,"A sudden, violent act.",Hallucination,force,0.37960436940193176
""" By the memory of George Washington you swear that you are not a <define> smugglesome </define> man ? """,Alternative form of smugglesome,Characterised or marked by smuggling,Hallucination,smugglesome,0.1537218540906906
"More than 40,000 would-be migrants to europe have been intercepted at sea since italy began paying and equipping the libyan coastguard to do so in 2017 . What is the meaning of equip ?",any thing that is used to protect or guard something.,"To supply with something necessary in order to carry out a specific action or task ; to provide with ( e.g . weapons , provisions , munitions , rigging )",Hallucination,equip,0.1621408462524414
"In the street the rattle of carriages could still be heard , women 's voices calling farewells and invitations to future dinners and danceables . What is the meaning of danceable ?",able,A social event with dancing ; a ball .,Hallucination,danceable,0.19026099145412445
"Given enough time , the logic goes , water can cleave solid rock and mountains can be reduced to plains . this `` gradualism '' now underpins modern geologic thought . ... maybe we 'll find evidence that the rock layers are exposed on the flanks of mount sharp [ on mars ] not because a river carved through them over millions of years , but because the wind blew against them for billions of years – the ultimate in gradualism . What is the meaning of gradualism ?",any process that takes place over time.,The belief that some phenomenon occurs gradually over a long period of time .,Hallucination,gradualism,0.29955801367759705
"`` no matter , i want to hear you describe it , `` said the examinant . What is the meaning of examinant ?","An examiner, examiner.",One who examines ; an examiner .,Not Hallucination,,0.7961738109588623
"The hills rose scarlet and gold to the north of the little town , and the westering sun shone ruddily and mystically on the crude new stone and plaster buildings of the dusty forum and the wooden walls of the circus some distance to the east . What is the meaning of westering ?",anything that rises to the west.,"Moving westward , near the west .",Hallucination,westering,0.21120089292526245
"It was not in his <define> unyellow </define> soul to go back on his word without refunding the money , and a dollar of it was already spent to the Chinese fund , to say nothing of sundaes and sodas and whips .",Not yellowed,(uncommon) Not yellow (in various senses).,Not Hallucination,,0.7469257712364197
"To be pragmatically determined , it must be the case that the expression does not contribute new information to the structure of the discourse except as an unremarkable <define> scenesetter </define> .",(Scene setter) One who or thing that setters scenes,"One who, or that which, sets the scene.",Not Hallucination,,0.8482821583747864
